TIME,REP_AIRP,UNIT,TRA_MEAS,AIRLINE,Value,Flag and Footnotes
2018M01,LAAGE airport,Passenger,Passengers carried,All airlines,:,
2018M01,NEUBRANDENBURG airport,Passenger,Passengers carried,All airlines,:,
2018M01,INGOLSTADT/MANCHING airport,Passenger,Passengers carried,All airlines,:,
2018M01,TALLINN/CITY HALL airport,Passenger,Passengers carried,All airlines,:,
2018M01,KARDLA airport,Passenger,Passengers carried,All airlines,:,
2018M01,KURESSAARE airport,Passenger,Passengers carried,All airlines,:,
2018M01,PARNU airport,Passenger,Passengers carried,All airlines,:,
2018M01,LENNART MERI TALLINN airport,Passenger,Passengers carried,All airlines,174 049,
2018M01,TARTU airport,Passenger,Passengers carried,All airlines,:,
2018M01,CONNEMARA airport,Passenger,Passengers carried,All airlines,:,
2018M01,CORK airport,Passenger,Passengers carried,All airlines,137 008,
2018M01,GALWAY airport,Passenger,Passengers carried,All airlines,:,
2018M01,DONEGAL airport,Passenger,Passengers carried,All airlines,:,
2018M01,DUBLIN airport,Passenger,Passengers carried,All airlines,1 951 480,
2018M01,INISHMORE airport,Passenger,Passengers carried,All airlines,:,
2018M01,IRELAND WEST airport,Passenger,Passengers carried,All airlines,39 822,
2018M01,KERRY airport,Passenger,Passengers carried,All airlines,20 280,
2018M01,SHANNON airport,Passenger,Passengers carried,All airlines,84 903,
2018M01,SLIGO airport,Passenger,Passengers carried,All airlines,:,
2018M01,WATERFORD airport,Passenger,Passengers carried,All airlines,:,
2018M01,THIRA airport,Passenger,Passengers carried,All airlines,:,
2018M01,ALEXANDROUPOLIS/DIMOKRITOS airport,Passenger,Passengers carried,All airlines,11 600,
2018M01,ATHINAI airport,Passenger,Passengers carried,All airlines,:,
2018M01,ATHINAI/ELEFTHERIOS VENIZELOS airport,Passenger,Passengers carried,All airlines,1 284 742,
2018M01,ALMIROS/NEA ANCHIALOS airport,Passenger,Passengers carried,All airlines,3,
2018M01,CHIOS/OMIROS airport,Passenger,Passengers carried,All airlines,13 757,
2018M01,IKARIA/IKAROS airport,Passenger,Passengers carried,All airlines,1 747,
2018M01,IOANNINA/KING PYRROS airport,Passenger,Passengers carried,All airlines,5 625,
2018M01,IRAKLION/NIKOS KAZANTZAKIS airport,Passenger,Passengers carried,All airlines,98 826,
2018M01,KASTORIA/ARISTOTELIS airport,Passenger,Passengers carried,All airlines,399,
